id,y_true,score
6252_halu,1,3.8410487919986935
6252_right,0,2.9399699148975653
4684_halu,1,2.522440371576109
4684_right,0,1.1427845600047144
1731_halu,1,3.480299851364568
1731_right,0,2.2983179575291643
4742_halu,1,2.598884821927016
4742_right,0,0.0
4521_halu,1,2.6697288545338447
4521_right,0,0.0
6340_halu,1,3.2185885154416893
6340_right,0,0.0
576_halu,1,2.6264821724407166
576_right,0,0.0
5202_halu,1,2.605725568949362
5202_right,0,0.0
6363_halu,1,2.6541126007904774
6363_right,0,2.45366573835323
439_halu,1,2.7715566807518988
439_right,0,2.120510987081972
2750_halu,1,3.022411765643104
2750_right,0,2.770991115584083
7487_halu,1,2.199890775359491
7487_right,0,2.1679756508901566
5272_halu,1,3.048292730262014
5272_right,0,2.380118006801262
5653_halu,1,3.2960980780939204
5653_right,0,2.5430213639694443
3999_halu,1,3.3989659112393134
3999_right,0,0.0
6033_halu,1,3.205680460233121
6033_right,0,2.542850012481141
582_halu,1,0.0
582_right,0,1.422291316347072
9930_halu,1,2.670947440633918
9930_right,0,2.8071911838315966
7051_halu,1,2.033145746190072
7051_right,0,0.0
8158_halu,1,2.8539805454049776
8158_right,0,2.391017881323353
9896_halu,1,3.418949980637197
9896_right,0,0.0
2249_halu,1,3.3914631081587383
2249_right,0,1.1139734710778768
4640_halu,1,3.415581987316619
4640_right,0,0.0
9485_halu,1,3.2014141837888688
9485_right,0,1.999836800759333
4947_halu,1,3.088087446295122
4947_right,0,1.6926960796938582
9920_halu,1,3.145216891832405
9920_right,0,0.0
1963_halu,1,3.083005864826704
1963_right,0,1.1056703526612268
8243_halu,1,3.0938124832116256
8243_right,0,2.268077183717798
6590_halu,1,3.2210263660428238
6590_right,0,0.0
8847_halu,1,3.1543677406198887
8847_right,0,0.0
321_halu,1,3.782344906203429
321_right,0,0.0
2678_halu,1,3.1236509070691607
2678_right,0,0.0
4625_halu,1,2.5295906437546085
4625_right,0,0.0
4949_halu,1,2.2780172721768888
4949_right,0,2.0543236945582986
8328_halu,1,3.652287488647641
8328_right,0,0.0
3337_halu,1,4.670400327937574
3337_right,0,0.0
5589_halu,1,3.331836194310509
5589_right,0,0.0
251_halu,1,2.9170608910952183
251_right,0,1.917143727350675
3973_halu,1,3.347038638492193
3973_right,0,1.9962864720586748
6630_halu,1,0.0
6630_right,0,0.0
5547_halu,1,3.342486424197708
5547_right,0,0.7258089719911419
35_halu,1,3.411705552379841
35_right,0,2.412527943382944
