id,y_true,score,y_pred_5,y_pred_10
6252_halu,1,3.3370368432111426,0,1
6252_right,0,2.631130438740246,0,0
4684_halu,1,1.936780087261884,0,0
4684_right,0,0.7210700523651129,0,0
1731_halu,1,3.3175286674171747,0,1
1731_right,0,0.0,0,0
4742_halu,1,2.156531878807568,0,0
4742_right,0,0.0,0,0
4521_halu,1,4.092257391368053,1,1
4521_right,0,0.0,0,0
6340_halu,1,5.51434256733633,1,1
6340_right,0,0.0,0,0
576_halu,1,4.151390617420429,1,1
576_right,0,0.0,0,0
5202_halu,1,3.3437107478972474,0,1
5202_right,0,0.0,0,0
6363_halu,1,1.568154733509899,0,0
6363_right,0,2.634897176391348,0,0
439_halu,1,5.3748991556398495,1,1
439_right,0,2.387164403423012,0,0
2750_halu,1,4.357948891202417,1,1
2750_right,0,5.080400507636673,1,1
7487_halu,1,3.137560749657842,0,1
7487_right,0,2.825898932969489,0,0
5272_halu,1,3.4272265999184413,0,1
5272_right,0,1.5210898135485356,0,0
5653_halu,1,4.108110591998898,1,1
5653_right,0,0.0,0,0
3999_halu,1,2.640969738146892,0,0
3999_right,0,0.0,0,0
6033_halu,1,5.50058357796225,1,1
6033_right,0,0.0,0,0
582_halu,1,0.0,0,0
582_right,0,1.341030742979413,0,0
9930_halu,1,1.4866387807196064,0,0
9930_right,0,0.0,0,0
7051_halu,1,3.7447166594560266,1,1
7051_right,0,0.0,0,0
8158_halu,1,3.6288839092127367,0,1
8158_right,0,4.020588424608056,1,1
9896_halu,1,3.9012737257675663,1,1
9896_right,0,0.0,0,0
2249_halu,1,4.479302148430073,1,1
2249_right,0,0.0,0,0
4640_halu,1,4.045577845334617,1,1
4640_right,0,0.0,0,0
9485_halu,1,3.4768802256912967,0,1
9485_right,0,0.8841357076941623,0,0
4947_halu,1,5.217768826190789,1,1
4947_right,0,0.0,0,0
9920_halu,1,4.719473357209444,1,1
9920_right,0,0.0,0,0
1963_halu,1,2.767060298971534,0,0
1963_right,0,0.0,0,0
8243_halu,1,4.325129053337855,1,1
8243_right,0,0.0,0,0
6590_halu,1,5.453708843382778,1,1
6590_right,0,0.0,0,0
8847_halu,1,5.581188029094354,1,1
8847_right,0,0.0,0,0
321_halu,1,4.107240558737822,1,1
321_right,0,0.0,0,0
2678_halu,1,3.8994819237278575,1,1
2678_right,0,0.0,0,0
4625_halu,1,2.3773126140624923,0,0
4625_right,0,0.0,0,0
4949_halu,1,1.4271248957575038,0,0
4949_right,0,1.1242697034017972,0,0
8328_halu,1,5.875167353278245,1,1
8328_right,0,0.0,0,0
3337_halu,1,2.532360678531669,0,0
3337_right,0,0.0,0,0
5589_halu,1,4.551250398085823,1,1
5589_right,0,0.0,0,0
251_halu,1,4.205314503976818,1,1
251_right,0,2.7536075000609457,0,0
3973_halu,1,3.1128057310827573,0,1
3973_right,0,2.1433065037398977,0,0
6630_halu,1,0.0,0,0
6630_right,0,0.0,0,0
5547_halu,1,5.554174966008468,1,1
5547_right,0,0.0,0,0
35_halu,1,3.31204159566515,0,1
35_right,0,1.9361108249903207,0,0
8362_halu,1,4.500361635615251,1,1
8362_right,0,2.687875417591185,0,0
1513_halu,1,3.3218804489651865,0,1
1513_right,0,0.7851585148077553,0,0
9317_halu,1,4.3635673468409575,1,1
9317_right,0,0.0,0,0
39_halu,1,4.354581367923743,1,1
39_right,0,0.0,0,0
4819_halu,1,5.049593243960219,1,1
4819_right,0,0.0,0,0
3465_halu,1,3.041765637043033,0,1
3465_right,0,4.578627308218285,1,1
1760_halu,1,2.129391394284114,0,0
1760_right,0,0.0,0,0
2304_halu,1,4.193359903958803,1,1
2304_right,0,0.0,0,0
3723_halu,1,5.811223463937447,1,1
3723_right,0,3.5255197360948034,0,1
8284_halu,1,3.35197513504854,0,1
8284_right,0,2.9955976982229906,0,1
4993_halu,1,2.4651237327068185,0,0
4993_right,0,1.8025993015170407,0,0
8127_halu,1,4.913864250344577,1,1
8127_right,0,2.9425884534119344,0,0
3032_halu,1,4.143627073145304,1,1
3032_right,0,0.92105212099128,0,0
7938_halu,1,2.305749785644465,0,0
7938_right,0,0.0,0,0
3039_halu,1,4.420729244474401,1,1
3039_right,0,0.0,0,0
9655_halu,1,4.547969661492054,1,1
9655_right,0,3.394339200511619,0,1
2545_halu,1,4.279923513673552,1,1
2545_right,0,0.0,0,0
2592_halu,1,4.004705156895278,1,1
2592_right,0,0.0,0,0
1188_halu,1,1.6916901372175932,0,0
1188_right,0,0.0,0,0
7966_halu,1,4.448374072094977,1,1
7966_right,0,0.0,0,0
6077_halu,1,3.2089176642528563,0,1
6077_right,0,0.0,0,0
107_halu,1,4.379980059866193,1,1
